comment,code,non-information
@implNote taken from {@link com.sun.javafx.scene.control.behavior.TextAreaBehavior#contextMenuRequested(javafx.scene.input.ContextMenuEvent)},"public static void showContextMenu(TextArea textArea, ContextMenu contextMenu, ContextMenuEvent e) {",yes
icon.setToolTipText(printedViewModel.getLocalization());,"TABLE_ICONS.put(SpecialField.PRINTED, icon);",yes
Synchronize changes of the underlying date value with the temporalAccessorValue,"BindingsHelper.bindBidirectional(valueProperty(), temporalAccessorValue,",no
Ask if the user really wants to close the given database,private boolean confirmClose(BasePanel panel) {,yes
css: information *,"INTEGRITY_INFO(MaterialDesignIcon.INFORMATION),",no
"Check if there is a default type with the same name. If so, this is a modification of that type, so remove the default one:",ExternalFileType toRemove = null;,no
each entry type,"for (Map.Entry<EntryType, TextField> entry : textFields.entrySet()) {",yes
"TODO: Username, domain and identity should be included as in .NET version. TODO: Should check, seems that it is not included in Log4j2.",,no
"Already parsed via command line parameter, e.g., ""jabref.jar somefile.bib""",if (isLoaded(dbFile) || !dbFile.exists()) {,no
finally add things to the currently opened tab,for (ParserResult pr : toOpenTab) {,yes
"To simplify the exporter API we simply do a normal export to a temporary file, and read the contents afterwards:","tmp = Files.createTempFile(""jabrefCb"", "".tmp"");",no
This class monitors a set of files for changes. Upon detecting a change it notifies the registered {@link FileUpdateListener}s. Implementation based on https://stackoverflow.com/questions/16251273/can-i-watch-for-single-file-change-with-watchservice-not-the-whole-directory,"public class DefaultFileUpdateMonitor implements Runnable, FileUpdateMonitor {",no
for AutoGroup,"private final RadioButton autoGroupKeywordsOption = new RadioButton(Localization.lang(""Generate groups from keywords in a BibTeX field""));",no
"Creates a new list in which each element is converted using the provided mapping. All changes to the underlying list are propagated to the converted list. In contrast to {@link org.fxmisc.easybind.EasyBind#map(ObservableList, Function)}, the items are converted when the are inserted (and at the initialization) instead of when they are accessed. Thus the initial CPU overhead and memory consumption is higher but the access to list items is quicker.","public static <A, B> MappedList<B, A> mapBacked(ObservableList<A> source, Function<A, B> mapper) {",no
Sets the {@link Consumer} that is invoked after the task has failed with an exception. The consumer always runs on the JavaFX thread.,public BackgroundTask<V> onFailure(Consumer<Exception> onException) {,no
"/ TODO: Add undo final UndoableModifySubtree undo = new UndoableModifySubtree(getGroupTreeRoot(), node, ""Remove subgroups""); panel.getUndoManager().addEdit(undo);",group.getGroupNode().removeAllChildren();,no
db file exists,if (basePanel.getBibDatabaseContext().getDatabaseFile().isPresent()) {,yes
"Another (unlikely?) possibility is that both disk and mem version has been modified in the same way. Check for this, too.","boolean modificationsAgree = (DuplicateCheck.compareEntriesStrictly(memEntry, diskEntry) > 1);",no
Should only occur when preferences are set directly via preferences.put and not via setFirstnameMode,return AutoCompleteFirstNameMode.BOTH;,no
"Dir must be a folder, not a file",} else {,yes
This method is called when the user presses OK in the Preferences dialog. This calls the appropriate method in the ViewModel.,void storeSettings();,no
TODO: doesn't work for citations in footnotes/tables,List<String> names = getSortedReferenceMarks(nameAccess);,no
Save,save();,yes
Constructor with optional column captions for the two entries,"public MergeEntries(BibEntry entryLeft, BibEntry entryRight, String headingLeft, String headingRight, BibDatabaseMode type) {",no
"If content selector values are present, then we want to show the auto complete suggestions immediately on focus",autoCompleter.setShowOnFocus(true);,no
"This is called, when the user drops some PreviewLayouts on another cell in chosenListView to sort them",,no
