id,type,comment,code,non-information
FR587,Javadoc,@implNote taken from {@link com.sun.javafx.scene.control.behavior.TextAreaBehavior#contextMenuRequested(javafx.scene.input.ContextMenuEvent)},"public static void showContextMenu(TextArea textArea, ContextMenu contextMenu, ContextMenuEvent e) {",yes
FR974,Line,icon.setToolTipText(printedViewModel.getLocalization());,"TABLE_ICONS.put(SpecialField.PRINTED, icon);",yes
FR1359,Line,Synchronize changes of the underlying date value with the temporalAccessorValue,"BindingsHelper.bindBidirectional(valueProperty(), temporalAccessorValue,",no
FR30,Javadoc,Ask if the user really wants to close the given database,private boolean confirmClose(BasePanel panel) {,yes
FR774,Block,css: information *,"INTEGRITY_INFO(MaterialDesignIcon.INFORMATION),",no
FR506,Line,"Check if there is a default type with the same name. If so, this is a modification of that type, so remove the default one:",ExternalFileType toRemove = null;,no
FR192,Line,each entry type,"for (Map.Entry<EntryType, TextField> entry : textFields.entrySet()) {",yes
FR947,Line,"TODO: Username, domain and identity should be included as in .NET version. TODO: Should check, seems that it is not included in Log4j2.",,no
FR92,Line,"Already parsed via command line parameter, e.g., ""jabref.jar somefile.bib""",if (isLoaded(dbFile) || !dbFile.exists()) {,no
FR89,Line,finally add things to the currently opened tab,for (ParserResult pr : toOpenTab) {,yes
FR418,Line,"To simplify the exporter API we simply do a normal export to a temporary file, and read the contents afterwards:","tmp = Files.createTempFile(""jabrefCb"", "".tmp"");",no
FR1408,Javadoc,This class monitors a set of files for changes. Upon detecting a change it notifies the registered {@link FileUpdateListener}s. Implementation based on https://stackoverflow.com/questions/16251273/can-i-watch-for-single-file-change-with-watchservice-not-the-whole-directory,"public class DefaultFileUpdateMonitor implements Runnable, FileUpdateMonitor {",no
FR675,Line,for AutoGroup,"private final RadioButton autoGroupKeywordsOption = new RadioButton(Localization.lang(""Generate groups from keywords in a BibTeX field""));",no
