id,type,comment,code,Expected
375,Line,... xxx todo: add standard entries,"XComponentContext xContext = new ComponentContext(context_entries, null);",
376,Line,"""clean"" url is decoded value of ""url"" parameter","if (pair.startsWith(""url="")) {",
377,Line,(Only) after a successful save the following statement marks that the base is unchanged since last save:,panel.setNonUndoableChange(false);,
378,Javadoc,{@link EntryAddedEvent} is fired when a new {@link BibEntry} was added to the {@link BibDatabase}.,public class EntryAddedEvent extends EntryEvent {,
379,Line,@formatter:off,library.getItems().addAll(,
380,Javadoc,<code>RemovedEntryEvent</code> is fired when a <code>BibEntry</code> was removed from the database.,,
381,Line,1. metadata user-specific directory,metaData.getUserFileDirectory(preferences.getUser()),
382,Javadoc,A bibliography database.,public class BibDatabase {,
383,Line,A reference to the entry this editor works on.,private BibEntry entry;,
384,Javadoc,"A small table, where an entry type is associated with a Bibtex key pattern (an <code>ArrayList</code>). A parent BibtexKeyPattern can be set.",public abstract class AbstractBibtexKeyPattern {,
385,Block,Actions for the TreeView *,"private void expandTree(TreeItem<?> item, boolean expand) {",
386,Line,Add as child,"target.addChild((T) this, targetIndex);",
387,Javadoc,Add the given new possible suggestions to thisSuggestionProvider,"public void addPossibleSuggestions(@SuppressWarnings(""unchecked"") T... newPossible) {",
388,Line,Added externally.,"fieldChanges.add(new FieldChangeViewModel(field, memEntry, tmpEntry, mem.orElse(null), tmp.orElse(null), disk.orElse(null)));",
389,Javadoc,Adds the given function to the list of subscribers which are notified when something changes in the subtree. The following events are supported (the text in parentheses specifies which node is passed as the source): - addChild (new parent) - removeChild (old parent) - move (old parent and new parent),public void subscribeToDescendantChanged(Consumer<T> subscriber) {,
390,Line,All entries,entries = frame.getCurrentBasePanel().getDatabase().getEntries();,
391,Line,all groups need a name,boolean okEnabled = !nameField.getText().trim().isEmpty();,
392,Line,"All set, call the operation in a new thread:",BackgroundTask.wrap(this::pushEntries),
393,Line,alt on win,"LOGGER.debug(""Mode MOVE"");",
394,Javadoc,An Action class representing the process of invoking a PushToApplication operation.,public class PushToApplicationAction extends SimpleCommand {,
395,Javadoc,An enum which contains the possible {@link BibDatabase} Modes. Possible are BibTeX and biblatex.,public enum BibDatabaseMode {,
396,Javadoc,"An object that executes submitted {@link Task}s. This interface provides a way of decoupling task submission from the mechanics of how each task will be run, including details of thread use, scheduling, thread pooling, etc.",public interface TaskExecutor {,
397,Line,Arrow indicating expanded status,new ViewModelTreeTableCellFactory<GroupNodeViewModel>(),
398,Line,"As the Doi field is empty we now check if note, url, or ee field contains a Doi",for (Field field : FIELDS) {,
399,Javadoc,Asks for details about merge database operation.,public class AppendDatabaseDialog extends BaseDialog<Boolean> {,
400,Javadoc,Backwards compatibility stub.,"public static final XComponentContext defaultBootstrap_InitialComponentContext(String ini_file, Hashtable<String, String> bootstrap_parameters) throws Exception {",
401,Javadoc,"BaseAction is used to define actions that are called from the base frame through runCommand(). runCommand() finds the appropriate BaseAction object, and runs its action() method.",@FunctionalInterface,
402,Javadoc,Binds propertA bidirectional to propertyB using updateB to update propertyB when propertyA changed and similar for updateA.,"public static <A, B> void bindBidirectional(ObservableValue<A> propertyA, ObservableValue<B> propertyB, Consumer<B> updateA, Consumer<A> updateB) {",
403,Javadoc,Binds propertA bidirectional to propertyB while using updateB to update propertyB when propertyA changed.,"public static <A> void bindBidirectional(Property<A> propertyA, ObservableValue<A> propertyB, Consumer<A> updateB) {",
404,Javadoc,"Bootstrap offers functionality to obtain a context or simply a service manager. The service manager can create a few basic services, whose implementationsare: <ul> <li>com.sun.star.comp.loader.JavaLoader</li> <li>com.sun.star.comp.urlresolver.UrlResolver</li> <li>com.sun.star.comp.bridgefactory.BridgeFactory</li> <li>com.sun.star.comp.connections.Connector</li> <li>com.sun.star.comp.connections.Acceptor</li> <li>com.sun.star.comp.servicemanager.ServiceManager</li> </ul> Other services can be inserted into the service manager by using its XSet interface: <pre> XSet xSet = UnoRuntime.queryInterface( XSet.class, aMultiComponentFactory ); // insert the service manager xSet.insert( aSingleComponentFactory ); </pre>",public class Bootstrap {,
405,Line,can not use BackgroundTask.wrap(Runnable) because Runnable.run() can't throw exceptions,return null;,
406,Javadoc,Check if the given keyCombination equals the given keyEvent,"public static boolean checkKeyCombinationEquality(KeyCombination combination, KeyEvent keyEvent) {",
407,Line,Check if we are inside a footnote:,"if (UnoRuntime.queryInterface(XFootnote.class, range.getText()) != null) {",
408,Line,Check that there are no empty strings.,if (layoutFile.get().isEmpty() || name.get().isEmpty() || extension.get().isEmpty(),
409,Line,Check the potentially different fields,for (Field field : differentFields) {,
410,Line,Check whether old defaultLabelPattern is set,"String oldDefault = mainPrefsNode.get(""defaultLabelPattern"", null);",
411,Javadoc,Checks if there is more than one occurrence of this key,private boolean isDuplicateCiteKeyExisting(String citeKey) {,
412,Javadoc,Class for generating a dialog showing warnings from ParserResult,public class ParserResultWarningDialog {,
413,Line,class is indirectly constructed by log4j,"@SuppressWarnings(""unused"")",
414,Javadoc,Cleanup the entry.,List<FieldChange> cleanup(BibEntry entry);,
