comment,code,non-information
 @implNote taken from @link com.sun.javafx.scene.control.behavior TextAreaBehavior#contextMenuRequested(javafx.scene.input ContextMenuEvent,"public static void showContextMenu(TextArea textArea, ContextMenu contextMenu, ContextMenuEvent e) {",yes
 icon.setToolTipText(printedViewModel.getLocalization,"TABLE_ICONS.put(SpecialField.PRINTED, icon);",yes
 Synchronize changes of underlying date value with temporalAccessorValue,"BindingsHelper.bindBidirectional(valueProperty(), temporalAccessorValue,",no
 Ask if user really wants to close given database,private boolean confirmClose(BasePanel panel) {,yes
 css information,"INTEGRITY_INFO(MaterialDesignIcon.INFORMATION),",no
 Check if there default type with same name If so modification of type so remove default one,ExternalFileType toRemove = null;,no
 entry type,"for (Map.Entry<EntryType, TextField> entry : textFields.entrySet()) {",yes
 TODO Username domain and identity should included as in .NET version TODO Should check seems that it not included in Log4j2,,no
 Already parsed via command line parameter e.g. jabref.jar somefile.bib,if (isLoaded(dbFile) || !dbFile.exists()) {,no
 finally add things to currently opened tab,for (ParserResult pr : toOpenTab) {,yes
 To simplify exporter API we simply normal export to temporary file and read contents afterwards,"tmp = Files.createTempFile(""jabrefCb"", "".tmp"");",no
 class monitors set of files for changes Upon detecting change it notifies registered FileUpdateListener}s Implementation based on https://stackoverflow.com/questions/16251273/can-i-watch-for-single-file-change-with-watchservice-not-the-whole-directory,"public class DefaultFileUpdateMonitor implements Runnable, FileUpdateMonitor {",no
 for AutoGroup,"private final RadioButton autoGroupKeywordsOption = new RadioButton(Localization.lang(""Generate groups from keywords in a BibTeX field""));",no
 Creates new list in element converted using provided mapping changes to underlying list propagated to converted list In contrast to @link org.fxmisc.easybind EasyBind#map(ObservableList Function items converted when inserted and at initialization instead of when they accessed Thus initial CPU overhead and memory consumption higher but access to list items quicker,"public static <A, B> MappedList<B, A> mapBacked(ObservableList<A> source, Function<A, B> mapper) {",no
 Sets @link Consumer invoked after task failed with exception consumer always runs on JavaFX thread,public BackgroundTask<V> onFailure(Consumer<Exception> onException) {,no
 / TODO Add undo final UndoableModifySubtree undo = new UndoableModifySubtree(getGroupTreeRoot node Remove subgroups panel.getUndoManager().addEdit(undo,group.getGroupNode().removeAllChildren();,no
 db file exists,if (basePanel.getBibDatabaseContext().getDatabaseFile().isPresent()) {,yes
 unlikely possibility that both disk and mem version modified in same way Check for too,"boolean modificationsAgree = (DuplicateCheck.compareEntriesStrictly(memEntry, diskEntry) > 1);",no
 Should only occur when preferences set directly via preferences.put and not via setFirstnameMode,return AutoCompleteFirstNameMode.BOTH;,no
 Dir must folder not file,} else {,yes
 method called when user presses OK in Preferences dialog calls appropriate method in ViewModel,void storeSettings();,no
 TODO n't work for citations in footnotes / tables,List<String> names = getSortedReferenceMarks(nameAccess);,no
 Save,save();,yes
 Constructor with optional column captions for two entries,"public MergeEntries(BibEntry entryLeft, BibEntry entryRight, String headingLeft, String headingRight, BibDatabaseMode type) {",no
 If content selector values present then we want to show auto complete suggestions immediately on focus,autoCompleter.setShowOnFocus(true);,no
 called when user drops PreviewLayouts on cell in chosenListView to sort them,,no
 Helper methods for javafx binding methods taken from https://bugs.openjdk.java.net / browse / JDK-8134679,public class BindingsHelper {,no
 Formats String to multiple Texts by replacing parts and adding font characteristics,"public static List<Text> formatToTexts(String original, TextReplacement... replacements) {",no
