comment,code,non-information
@impl note taken from @link com sun javafx scene control behavior text area behavior context menu requested javafx scene input context menu event,public static void show context menu text area text area context menu context menu context menu event,yes
icon set tool tip text printed view model get localization,table icons put special field printed icon,yes
synchronize changes of underlying date value with temporal accessor value,bindings helper bind bidirectional value property temporal accessor value,no
ask if user really wants to close given database,private boolean confirm close base panel panel,yes
css information,integrity info material design icon information,no
check if there is default type with same name if so is modification of type so remove default one,external file type to remove null,no
entry type,for map entry entry type text field entry text fields entry set,yes
todo username domain and identity should be included as in net version todo should check seems that it is not included in log4j2,,no
already parsed via command line parameter jabref jar somefile bib,if is loaded db file or db file exists,no
finally add things to currently opened tab,for parser result pr to open tab,yes
to simplify exporter api we simply do normal export to temporary file and read contents afterwards,tmp files create temp file jabref cb tmp,no
class monitors set of files for changes upon detecting change it notifies registered file update listener implementation based on,public class default file update monitor implements runnable file update monitor,no
for auto group,private final radio button auto group keywords option new radio button localization lang generate groups from keywords in bib te field,no
creates new list in element is converted using provided mapping changes to underlying list are propagated to converted list in contrast to @link org fxmisc easybind easy bind map observable list function items are converted when are inserted and at initialization instead of when they are accessed thus initial cpu overhead and memory consumption is higher but access to list items is quicker,public static mapped list map backed observable list source function mapper,no
sets @link consumer is invoked after task has failed with exception consumer always runs on java fx thread,public background task on failure consumer exception on exception,no
todo add undo final undoable modify subtree undo new undoable modify subtree get group tree root node remove subgroups panel get undo manager add edit undo,group get group node remove all children,no
db file exists,if base panel get bib database context get database file is present,yes
unlikely possibility is that both disk and mem version has been modified in same way check for too,boolean modifications agree duplicate check compare entries strictly mem entry disk entry,no
should only occur when preferences are set directly via preferences put and not via set firstname mode,return auto complete first name mode,no
dir must be folder not file,else,yes
method is called when user presses ok in preferences dialog calls appropriate method in view model,void store settings,no
todo does not work for citations in footnotes tables,list string names,no
save,save,yes
constructor with optional column captions for two entries,public entry left bib entry entry right string heading left string heading right bib database mode type,no
if content selector values are present then we want to show auto complete suggestions immediately on focus,auto completer set show on focus true,no
is called when user drops preview layouts on cell in chosen list view to sort them,,no
helper methods for javafx binding methods are taken from browse jdk 8134679,public class bindings helper,no
formats string to multiple texts by replacing parts and adding font characteristics,public static list text format to texts string original text replacement replacements,no
copies given list of @link log event to clipboard,public void log event view model messages,no
entries had keys,jab ref gui get main frame get dialog service notify localization lang copied jab ref dialog service shorten dialog message key and link,no
add radio buttons if two entries do not have identical fields,if identical fields contains field,no
delivers possible completions as list of @link bib entry based on cite key,public class bib entry suggestion provider extends suggestion provider bib entry implements bib entry,no
css eye,read status material design icon eye,no
method to add new abbreviation to abbreviations list property it also sets current abbreviation property to new abbreviation,public void add abbreviation string name string abbreviation,no
class for handling general actions cut copy and paste focused component is kept track of by globals focus listener and we call action stored under relevant name in action map,private class edit action extends simple command,no
returns new observable value holds value held by observable value or other when observable value is empty,public object binding other,no
command is only executable if database is open deprecated use instead,@deprecated,no
define focused tab,if pr get file filter path path get absolute path equals focused file is present,no
single tab displayed in entry editor holding several field editors,abstract class fields editor tab extends entry editor tab,no
poll with timeout in case library is not analyzed completely but contains more duplicates,dups this duplicates poll 100 time unit milliseconds,no
clears current log,public void clear log,yes
sets new key bind to objects key binding object if given key event is valid combination of keys,public boolean set new binding key event evt,no
revert change,base set preamble old value,yes
fade new page in for smoother transition,fade transition fade in new fade transition duration millis 100 image view,no
css rss,rss,no
get search describer for given search query,public static search describer get search describer for search query search query,yes
does actual operation on bibtex entry based on settings specified in same dialog returns number of occurrences replaced,private int replace item bib entry entry named compound compound,no
should be opened in browser,field standard field url,no
returns hash map containing key bindings,public sorted map key binding string get key bindings,yes
add menu for fetching bibliographic information,context menu fetcher menu new context menu,no
ctrl on win,copy,no
adds specified node as child of current root group contained in new groups must not be of type all entries group since tree has exactly one all entries group root new groups are inserted directly they are not deep copy,private static void add groups group tree node new groups compound edit ce,no
adds given entries to node group,public list field change add entries to group list bib entry entries,yes
no we canceled or there is panel to get database from highly unlikely,return false,no
default,return group hierarchy type independent,yes
bug report body,string issue body system info \n\n how to reproduce \n\n paste log details here,yes
do nothing by default,,yes
text after citation,if end line length,no
only instance of class,private static external file types singleton,yes
placeholder class for custom generic type safe dragboard to be used in drag and drop does not depend on serialization do not use class directly use instance provided in @link gui globals local dragboard,public class custom local dragboard,no
search and import unknown references from associated bib files,public void import button clicked,no
wizard dialog for generating new sub database from existing te aux file,public class from aux dialog extends base dialog void,no
shows dialog with warnings from import or open of file,public static void show parser result warning dialog final parser result parser result final jab ref frame jab ref frame,no
get permutation array,int permutation new int to from,no
set pseudo classes to indicate if row is root or sub item deep,pseudo class root pseudo class pseudo class get pseudo class root,no
do not report error since getting suffix is non critical operation and error will be triggered and reported elsewhere,,no
selected entries,entries frame get current base panel get selected entries,yes
for fields in joint add row and possibly radio buttons,int row,no
puts list of preview layout in map previous content is cleared,public void put preview layouts list preview layout preview layouts,no
remove entry from import inspection dialog,entries remove entry,yes
second check if duplicate is of entry in import,other find internal duplicate entry,no
todo remove old entry or add it to list of entries to be deleted we only delete it after ok is clicked entries to delete add other get,else if result duplicate resolver dialog duplicate resolver result keep right,no
taken from,public image width int height,no
check if looks like remote link,if remote link pattern matcher link matches,yes
get list of exporters and sort before adding to file dialog,list exporter exporters globals export factory get exporters stream,yes
save properties dependent on id makes it possible to restore them,new shared database preferences context get database generate shared database id,no
initialize protected terms loader,globals protected terms loader new protected terms loader globals prefs get protected terms preferences,yes
returns menu item container node associated with menu item can contain label node of type label for displaying menu item text right node of type label for displaying accelerator text or arrow if it menu graphic node for displaying menu item icon and left node for displaying either radio button or check box is basically rewritten impl styleable get node should not be used since it marked as deprecated,private static label get associated node menu item menu item,no
set content type content type style sheet sheet html editor kit get editor kit get style sheet sheet add rule body style sheet add rule addition style sheet add rule removal style sheet add rule change style set editable false,,yes
sets name and abbreviation of @code current abbreviation property to values of @code abbreviations name and @code abbreviations abbreviation properties,private void set current abbreviation name and abbreviation if valid string name string abbreviation,no
finally go through citation markers and update referring to entries in current list,int max authors first style get int cit property oo bib style max authors first,no
describe advanced search expression,search contains entries in tooltip text util text type normal,no
if we re going to override cite keys warn user about it,else if entries parallel stream any match bib entry::has cite key,no
method is called after new database has been added to gui if is action necessary method returned true note if several such methods need to be called sequentially it is important that implementations of method do not return until operation is finished,void perform action base panel panel parser result pr,no
searches recursively files in specified directory br br files matched by given @link unlinked pdf file filter are taken into resulting tree br br result will be tree structure of nodes of type @link check box tree item br br user objects are attached to nodes is @link file node wrapper wraps @link file object br br for ensuring capability to cancel work of recursive method first position in integer array state must be set to to keep recursion running when states value changes method will resolve recursion and return what it has saved so far,private check box tree item file node wrapper directory unlinked pdf file filter ff,no
method attaches linked file from url if not already linked to entry using key and value pair from find full texts map and then downloads file into given target directory,private void add linked file from url url url bib entry entry path target directory,no
init paste handler for url editor to format pasted url link in text area,text area set paste action handler text area set text new trim whitespace formatter format text area get text,no
create new suggestion provider string,public suggestion provider string callback string string converter,yes
set new sections name to child section, child named set name oo bib base bib section name,yes
ok done then try to gather in we have found since we might have found one or more bibtex results it best to gather them in bib database,parser result bibtex result merge import results imports,no
todo can we find out whether save was actually done or not,,no
method shall be used to add new journal abbreviation file to set of journal abbreviation files it basically just calls @link open file path method,public void add new file,no
undoable add or remove group undo new undoable add or remove group groups root new group tree node view model new groups undoable add or remove group add node ce add edit undo,,yes
new version could be found only respect ignored version on automated version checks,if newer version is present or newer version get equals to be ignored manual execution,no
compare deleted entry in memory with one in tmpfile entry could have been removed in memory,double match with tmp duplicate check compare entries strictly mem entry tmp entry,no
retrieve bookmark by name,if named bookmarks has by name name,yes
run validation checks,if valid settings,yes
be happy with first found bib entry and move on to next key,break,yes
css open in app,connect open office material design icon open in app,yes
fills current values to text fields,public void set values abstract bibtex key pattern key pattern,no
create default suggestion provider based on to string method of generic objects,public static suggestion provider create collection possible suggestions,no
lines above work also if dir does not exist at all null is accepted by filechooser as inital path,,no
css paperclip,attach file material design icon paperclip,yes
converts citations into rtf format,protected static clipboard content process rtf list string citations,no
push to application,final push to application action push to application action push to applications manager get push to application action,yes
returns default context menu items except undo redo,public static list menu item get default context menu items text input control text input control,no
use preferences value if db is open,mode globals prefs get default bib database mode,no
we have to use supplier for localized text so that language changes are correctly reflected,search display mode supplier string display name supplier string,no
todo switch icon color search icon set icon icon theme jab ref icon advanced search get icon,else,no
we have overwritten marker for start of reference list we need to add it again,cursor collapse to end,no
create and run cleaner,cleanup worker cleaner new cleanup worker panel get bib database context preferences get cleanup preferences,yes
if we found it remove it from type list,if to remove null,yes
work around for different input methods,private class input method requests object implements input method requests,no
class represents change in field value relevant information is bib entry field name old and new value old new values can be null,public class undoable preamble change extends abstract undoable jab ref edit,no
parse temporary file,import format preferences import format preferences globals prefs get import format preferences,no
show progress indicator,progress indicator progress new progress indicator,yes
fail on unsupported java versions,ensure correct java version,no
get string associated with file type icon,public string get icon name,no
things to be appended to opened tab should be done after opening tabs add them to list,to open tab add pr,no
set title frame title,return,no
we do not trim value at assignment to enable users to have spaces at beginning and at end of pattern,if,no
jni convenience easier to iterate over array than calling hashtable,string pairs null,no
create menu items one for case changer,list formatter case changers new array list,no
we import files and collect results,list import format reader unknown format import imports new array list,no
constructs list cell based on view model of row and bunch of specified converter methods,public class view model list cell factory implements callback list view list cell,no
todo store undo if undo is empty group selector conclude assignment undoable change entries of group get undoable edit target undo target get node assigned entries,,no
todo means duplicate string name exists so it not very exceptional situation we should maybe give warning,,no
dialog shown when closing of application needs to wait for save operation to finish,public class wait for save finished dialog,no
todo find better way to update preview,base panel close bottom pane,no
we are alone so we start server,globals remote listener open and start new jab ref message handler remote preferences get port,no
keep track of changes made to columns like reordering or resizing,public class persistence visual state table,no
encoding of shared database is always utf,encoding disable property set value is shared,no
replace placeholder if used,command command replace %dir absolute path,no
if file is ordinary file not resource part of jar bundle we watch it for changes and turn on live reloading,if css uri to string contains jar,no
shift on windows or modifier,link,no
show tooltips,if command instanceof simple command,no
class provides editable text field is used as table cell it handles editing of name column,public class journal abbreviations name table editing cell extends table cell abbreviation view model string,no
return first one we found anyway,return optional of suffix,no
regex is correct otherwise ok would have been disabled therefore do not catch anything here,if keyword group reg exp is selected,no
returns int representing selected hierarchical group context,private group hierarchy type get context,yes
todo warn if assignment has undesired side effects modifies field keywords if warn assignment side effects warn assignment side effects node get node get group panel frame return user aborted operation,,no
bidirectional binding does not work so use listeners instead,flow estimated scroll property add listener observable old value new value scroll set value new value,no
main function for building merge entry panel,private void initialize,no
prefs tab is component displayed in preference dialog it needs to extend from component,interface preferences tab,no
actual operation method will not be called on event dispatch thread so it should not do gui operations without utilizing invoke later,void push entries bib database context database list bib entry entries string key string,no
create dummy group,try,no
action for launching mass field functionality defaults to selected entries or entries if none are selected input field name either set field or clear field,public class mass set fields action extends simple command,no
need to toggle twice to make sure nothing is selected,root set selected false,no
ctrl on win no modifier on xubuntu,copy,no
if we are supposed to set character format for citations must run test before we delete old citation markers otherwise if specified character format does not exist we end up deleting markers before process crashes due to missing format with catastrophic consequences for user need to do only once,must test char format false need to do only once,no
get center of focused cell,bounds anchor bounds row get bounds in parent,no
opens new console starting on given file location if command is specified in globals default system console will be executed,public static void file throws io exception,no
 think setting root to null is not possible,root set group default groups factory get all entries group,no
general info dialog mac adapter calls method when quit is selected from application menu cmd is pressed or quit is selected from dock function returns boolean indicating if quitting is ok or not non osx jab ref calls when choosing quit from menu side effect tears down jab ref,public boolean quit,no
fits standard found entries message thus hinders searchbar to jump around while searching if frame width is too small,current results set pref width 150,no
view model for field editor shows various options backed by map,public abstract class map based editor view model extends option editor view model,no
hide horizontal scrollbar and always wrap text,set wrap text true,no
delivers possible completions as list of @link author,public class person name suggestion provider extends suggestion provider author implements author,no
xml syntax highlighting for rich text fx codearea created by carlos martins github @cemartins license bsd clause see and,public style spans collection string compute highlighting string text,no
inserts jab ref preferences values into properties of view model,public void set values,no
alt on windows,move,no
for column get actual width or if it does not exist default value,map string double column widths new hash map,no
opens import inspection dialog to let user decide of given entries to import,private void add imported entries final base panel panel final list bib entry entries,no
update journal abbreviation loader,journal abbreviation loader update abbreviations preferences,yes
generate dialog title,string dialog title,yes
wrapper around one of actions from @link action to convert them to controlsfx @link org controlsfx control action action,class jab ref action extends org controlsfx control action action,no
open file browser,,no
flipped around,resolve strings all property set value preferences get boolean jab ref preferences resolve strings all fields,no
css file multiple,file multiple material design icon file multiple,yes
find office executable relative to class class loader,string office system get property os name starts with windows soffice exe soffice,no
add entries to open tab,base panel panel get current base panel,no
css star circle,star circle,yes
set empty background and create proper rendering in background for smoother loading,background new rectangle get desired width get desired height,no
function to initialize parameters currently it is expected that command path preference key is set to path of application,protected abstract void init parameters,no
root of global groups tree,private final group tree node view model groups root handle,no
gets invoked if entry in current database changes,private void on database changed list change listener change extends bib entry change,yes
wait until office is started,for int,no
check if we are supposed to set character format for citations,boolean must test char format style is format citations,no
css arrow up bold,move tab arrow material design icon arrow up bold,yes
todo reflective access should be removed,field private string field table view class get declared field content width,no
creates column for do is or ur ls @code first field is preferred to be shown over second field,private table column bib entry table view model field create url or doi column jab ref icon icon field first field field second field,no
get comparator to order suggestions,protected abstract comparator get comparator,no
check if there are empty keys,boolean empty keys false,yes
repeat for individual file dir reuse text and dir vars,text view model user specific file directory property get value,no
alt on win,logger debug node link,no
represents view model for page in document viewer,public abstract class document page view model,yes
menu to show up on right click in text field for converting text formats,class conversion menu extends menu,no
is ugly but we have proper update mechanism in place to propagate changes so redraw everything,refresh,no
todo print error message localization lang pdf does not exist,else,no
prints parsing statistics,public string get information boolean include missing entries,no
calls abbreviations file view model write or create method for file in journal files property will overwrite existing files with content of abbreviations property of abbriviations file non existing files will be created,public void save journal abbreviation files,no
sets @link consumer is invoked after task is successfully finished consumer always runs on java fx thread,public background task on success consumer on success,no
copyright 2014 2016 controls fx rights reserved redistribution and use in source and binary forms with or without modification are permitted provided that following conditions are met redistributions of source code must retain above copyright notice list of conditions and following disclaimer redistributions in binary form must reproduce above copyright notice list of conditions and following disclaimer in documentation and or other materials provided with distribution neither name of controls fx associated website nor names of contributors may be used to endorse or promote products derived from software without specific prior written permission software is provided by copyright holders and contributors as is and express or implied warranties including but not limited to implied warranties of merchantability and fitness for particular purpose are disclaimed in event shall controlsfx be liable for direct indirect incidental special exemplary or consequential damages including but not limited to procurement of substitute goods or services loss of use data or profits or business interruption however caused and on theory of liability whether in contract strict liability or tort including negligence or otherwise arising in way out of use of software even if advised of possibility of such damage,package org jabref gui autocompleter,no
extract destination url,try,no
updates view to reflect changes to visible components,private void update view,yes
class represents change in field value relevant information is bib entry field name old and new value old new values can be null,public class undoable field change extends abstract undoable jab ref edit,no
abstract class for pushing entries into different editors,public abstract class abstract push to application implements push to application,no
put warning into as exception text it will be displayed to user,,no
wraps old swing commands so that they fit into new infrastructure in long term class should be removed,@deprecated,no
default context menu with specific menu item to cleanup url,public static supplier list menu item get cleanup url menu text area text area,no
icon is chosen based on field name in cell so map fields to names,column set cell value factory cell data easy bind monadic cell data get value get field first field map first field or else easy bind monadic cell data get value get field second field map second field,no
execute command,try,no
ignored,return collections empty list,no
